Official_Name,Address,Latitude,Longitude,Date_Opened,Current_Status
East Village,"90 E 10th St, New York, NY 10003",40.7308064,-73.9897265,2017-02-23,Open
Chelsea 7th Ave,"154 7th Ave, New York, NY 10011",40.74191605,-73.9976050243652,2017-12-15,Rebrand
Times Square,"368 W 46th St, New York, NY 10036",40.7606384,-73.9903951,2018-01-19,Open
5th Ave,"37 W 46th St, New York, NY 10036",40.7568718,-73.98042535,2018-02-16,Open
Chelsea 8th Ave,"96 8th Ave, New York, NY 10011",40.7401797,-74.0019721,2018-02-23,Closed
Park Ave,"455 Park Avenue South, New York, NY 10016",40.7448937,-73.9826174,2018-03-16,Closed
Broadway,"243 W 54th St, New York, NY 10019",40.7645366,-73.9833266,2018-05-04,Rebrand
Upper West,"2233 Broadway, New York, NY 10024",40.7843033333333,-73.9797676666667,2018-07-06,Closed
Lexington Ave,"1007 Lexington Ave, New York, NY 10021",40.77071705,-73.961705564726,2018-08-03,Closed
Madison Ave,"295 Madison Ave, New York, NY 10017",40.7517813,-73.9793366110454,2018-10-19,Closed
Bleecker St,"205 Bleecker St, New York, NY 10012",40.7293546170029,-74.0013773167066,2018-11-29,Closed
