Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Wakefield,40.89470517661,-73.84720052054902,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop
Wakefield,40.89470517661,-73.84720052054902,Shell,40.894187118166535,-73.84586195733382,Gas Station
Wakefield,40.89470517661,-73.84720052054902,Pitman Deli,40.89414920073695,-73.84574821662589,Food
Wakefield,40.89470517661,-73.84720052054902,The Upper Room,40.892567,-73.846406,Music Venue
Co-op City,40.87429419303012,-73.82993910812398,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza Place
Co-op City,40.87429419303012,-73.82993910812398,Modell's Sporting Goods,40.87258438248175,-73.8295319986003,Sporting Goods Shop
Co-op City,40.87429419303012,-73.82993910812398,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant
Co-op City,40.87429419303012,-73.82993910812398,truman track n field,40.87496253317124,-73.83084729386773,Baseball Field
Co-op City,40.87429419303012,-73.82993910812398,Juice Bar,40.876156,-73.829506,Juice Bar
Co-op City,40.87429419303012,-73.82993910812398,Dreiser Auditorium,40.8763808729142,-73.82909547946035,Jazz Club
Eastchester,40.887555677350775,-73.82780644716412,Cozy Cottage Restaurant,40.88633207186384,-73.82761561924221,Diner
Eastchester,40.887555677350775,-73.82780644716412,Dunkin',40.88538419291817,-73.8280987591753,Donut Shop
Eastchester,40.887555677350775,-73.82780644716412,McDonald's,40.88563631373264,-73.82683955509486,Fast Food Restaurant
Eastchester,40.887555677350775,-73.82780644716412,MTA New York City Bus/Bee Line - Bx16/Bx30/W60/W61/W62 (Pelham/Co-op City/White Plains/Port Chester) @ Boston Road and Conner Street,40.88594,-73.82787,Bus Stop
Eastchester,40.887555677350775,-73.82780644716412,4 Star Auto Glass,40.8860464,-73.826613,Automotive Shop
Eastchester,40.887555677350775,-73.82780644716412,"Bee Line 60, 61, 62 MTA Bx16, Bx30 (Boston Road/Conner St)",40.88580984751669,-73.82805491348807,Bus Station
Eastchester,40.887555677350775,-73.82780644716412,Imperial beverage center,40.889146992600836,-73.82929692582755,Food & Drink Shop
Fieldston,40.89543742690383,-73.90564259591682,Fieldston Road Circle,40.89448851736085,-73.90562087134356,Plaza
Riverdale,40.890834493891305,-73.9125854610857,Riverdale Ave,40.890424929507866,-73.91024841803598,Plaza
Riverdale,40.890834493891305,-73.9125854610857,Riverdale Fit Bootcamp,40.891311,-73.912821,Athletics & Sports
Kingsbridge,40.88168737120521,-73.90281798724604,Garden Gourmet Market,40.88135023917183,-73.90338943716417,Gourmet Shop
Kingsbridge,40.88168737120521,-73.90281798724604,Leche y Miel,40.88370946311038,-73.90160581178267,Latin American Restaurant
Kingsbridge,40.88168737120521,-73.90281798724604,Carvel Ice Cream,40.883657145742866,-73.90165452034793,Ice Cream Shop
Kingsbridge,40.88168737120521,-73.90281798724604,MyUnique,40.88196572342435,-73.90358396335206,Thrift / Vintage Store
Kingsbridge,40.88168737120521,-73.90281798724604,Q'Kachapa,40.880005888670006,-73.9041570896363,Spanish Restaurant
Kingsbridge,40.88168737120521,-73.90281798724604,Enterprise Rent-A-Car,40.879866093214,-73.90384738148896,Rental Car Location
Kingsbridge,40.88168737120521,-73.90281798724604,Stop & Shop,40.8821286,-73.9016868,Supermarket
Kingsbridge,40.88168737120521,-73.90281798724604,Dollar Tree,40.88171500958054,-73.9031865652043,Discount Store
Kingsbridge,40.88168737120521,-73.90281798724604,IHOP,40.880422088659074,-73.90401864379297,Breakfast Spot
Kingsbridge,40.88168737120521,-73.90281798724604,Silhouette Restaurant & Lounge,40.88070643866,-73.90268654351613,Latin American Restaurant
Kingsbridge,40.88168737120521,-73.90281798724604,Little Caesars Pizza,40.88000167064909,-73.90413957385358,Pizza Place
Kingsbridge,40.88168737120521,-73.90281798724604,Mattress Firm,40.88157952534375,-73.90327738525008,Mattress Store
Kingsbridge,40.88168737120521,-73.90281798724604,KFC,40.8801638310206,-73.90425289392198,Fried Chicken Joint
Kingsbridge,40.88168737120521,-73.90281798724604,FedEx Office Print & Ship Center,40.882667,-73.901487,Shipping Store
Kingsbridge,40.88168737120521,-73.90281798724604,The Bridge Tavern,40.883495380089926,-73.9017625732257,Sports Bar
Kingsbridge,40.88168737120521,-73.90281798724604,Flame Hibachi,40.88277,-73.901816,Restaurant
Kingsbridge,40.88168737120521,-73.90281798724604,Tony & Cyndi's Pizzeria & Restaurants,40.88356615627457,-73.90180851709593,Pizza Place
Marble Hill,40.87655077879964,-73.91065965862981,Arturo's,40.87441177110231,-73.91027100981574,Pizza Place
Marble Hill,40.87655077879964,-73.91065965862981,Rite Aid,40.875466574434704,-73.90890629016033,Pharmacy
Marble Hill,40.87655077879964,-73.91065965862981,Subway Sandwiches,40.8746665302951,-73.9095858429637,Sandwich Place
Marble Hill,40.87655077879964,-73.91065965862981,CTown Supermarkets,40.87621750357271,-73.90854098747018,Supermarket
Marble Hill,40.87655077879964,-73.91065965862981,Metro North - Marble Hill Train Station,40.87469809860372,-73.91205168105456,Train Station
Marble Hill,40.87655077879964,-73.91065965862981,Terrace View Delicatessen,40.87647647652852,-73.91274586964578,Deli / Bodega
Marble Hill,40.87655077879964,-73.91065965862981,Rosarina Bakery (aka Franco Bakery),40.87487010452942,-73.90939769299527,Bakery
Marble Hill,40.87655077879964,-73.91065965862981,China Wang,40.87434742150794,-73.91054009348214,Chinese Restaurant
Woodlawn,40.89827261213805,-73.86731496814176,Katonah Pizza and Pasta,40.89878411126604,-73.86745706580207,Pizza Place
Woodlawn,40.89827261213805,-73.86731496814176,Rambling House,40.898439240536966,-73.86719657644849,Pub
Woodlawn,40.89827261213805,-73.86731496814176,Curry Spot,40.897624941880906,-73.86714729157393,Indian Restaurant
Woodlawn,40.89827261213805,-73.86731496814176,Behan's Pub,40.89858450390552,-73.86750725480708,Bar
Woodlawn,40.89827261213805,-73.86731496814176,Sean's Quality Deli,40.89759465832248,-73.8671505768548,Deli / Bodega
Woodlawn,40.89827261213805,-73.86731496814176,CTown Supermarkets,40.89741967171057,-73.86739744665735,Supermarket
Woodlawn,40.89827261213805,-73.86731496814176,Katonah Family Deli Grocery,40.898339342064965,-73.86720111149035,Convenience Store
Woodlawn,40.89827261213805,-73.86731496814176,Bella Napoli 2,40.896776018815885,-73.8671886920929,Pizza Place
Woodlawn,40.89827261213805,-73.86731496814176,John Mulligans Fireside Pub,40.89777632017523,-73.86716049035307,Pub
Woodlawn,40.89827261213805,-73.86731496814176,The Kitchen,40.899733,-73.867408,American Restaurant
Woodlawn,40.89827261213805,-73.86731496814176,The Coachman's Inn,40.90014654775011,-73.86764673430903,Bar
Norwood,40.87722415599446,-73.8793907395681,Williamsbridge Reservoir Oval,40.87703278924706,-73.87733074138687,Park
Norwood,40.87722415599446,-73.8793907395681,Sal's Pizzeria,40.875269350530566,-73.87956260705728,Pizza Place
Norwood,40.87722415599446,-73.8793907395681,Chase Bank,40.87539175917222,-73.87973382534256,Bank
Norwood,40.87722415599446,-73.8793907395681,Norwood Deli & Grocery,40.87568063559936,-73.87943240176959,Deli / Bodega
Norwood,40.87722415599446,-73.8793907395681,MTA Subway - Norwood/205th St (D),40.87503620331636,-73.87944034309665,Metro Station
Norwood,40.87722415599446,-73.8793907395681,New Star Coffee Shop and Deli,40.87498,-73.879459,Coffee Shop
Baychester,40.866858107252696,-73.83579759808117,Caridad & Louie,40.86584304086998,-73.83770669702484,Spanish Restaurant
Baychester,40.866858107252696,-73.83579759808117,Dunkin',40.86780008007166,-73.8333645677676,Donut Shop
Baychester,40.866858107252696,-73.83579759808117,SUBWAY,40.86862220285062,-73.83405221251073,Sandwich Place
Pelham Parkway,40.85741349808865,-73.85475564017999,Peach Wave,40.85605141607515,-73.85570606675319,Frozen Yogurt Shop
Pelham Parkway,40.85741349808865,-73.85475564017999,Mr. Q's Chinese Restaurant,40.85579022389548,-73.8554550059393,Chinese Restaurant
Pelham Parkway,40.85741349808865,-73.85475564017999,Dunkin',40.85638280761504,-73.85615916190761,Donut Shop
Pelham Parkway,40.85741349808865,-73.85475564017999,Liberty Donut & Coffee Shop,40.85533922011825,-73.85533281832504,Coffee Shop
Pelham Parkway,40.85741349808865,-73.85475564017999,Shell,40.8557372,-73.85518217,Gas Station
Pelham Parkway,40.85741349808865,-73.85475564017999,Williamsbridge Gourmet Deli,40.85695845016198,-73.85630141364052,Deli / Bodega
Pelham Parkway,40.85741349808865,-73.85475564017999,D&G Deli & Rotisserie,40.85622854821319,-73.85581332380804,Café
Pelham Parkway,40.85741349808865,-73.85475564017999,Milano Italian Delicatessen,40.85657378113683,-73.85582475342396,Deli / Bodega
Pelham Parkway,40.85741349808865,-73.85475564017999,MTA Subway - Pelham Parkway (5),40.8587404743788,-73.85560769910067,Metro Station
