Official_Name,Address,Latitude,Longitude,Date_Opened,Current_Status
East Village,"90 E 10th St, New York, NY 10003",,,2017-02-23,Open
Chelsea 7th Ave,"154 7th Ave, New York, NY 10011",,,2017-12-15,Rebrand
Times Square,"368 W 46th St, New York, NY 10036",,,2018-01-19,Open
5th Ave,"37 W 46th St, New York, NY 10036",,,2018-02-16,Open
Chelsea 8th Ave,"96 8th Ave, New York, NY 10011",,,2018-02-23,Closed
Park Ave,"455 Park Avenue South, New York, NY 10016",,,2018-03-16,Closed
Broadway,"243 W 54th St, New York, NY 10019",,,2018-05-04,Rebrand
Upper West,"2233 Broadway, New York, NY 10024",,,2018-07-06,Closed
Lexington Ave,"1007 Lexington Ave, New York, NY 10021",,,2018-08-03,Closed
Madison Ave,"295 Madison Ave, New York, NY 10017",,,2018-10-19,Closed
Bleecker St,"205 Bleecker St, New York, NY 10012",,,2018-11-29,Closed
