Official_Name,IS_Latitude,IS_Longitude,Version,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
East Village,40.7308064,-73.9897265,20170223,Shake Shack,40.72999845323382,-73.9896956893842,Burger Joint
East Village,40.7308064,-73.9897265,20170223,Ippudo,40.730948,-73.990287,Ramen Restaurant
East Village,40.7308064,-73.9897265,20170223,Angel’s Share,40.729755,-73.98936,Speakeasy
East Village,40.7308064,-73.9897265,20170223,Switch Playground 12th Street,40.732184325593934,-73.98869947016881,Gym
East Village,40.7308064,-73.9897265,20170223,Fabio Clemente Jiu Jitsu,40.732304345636834,-73.98906861927942,Martial Arts Dojo
East Village,40.7308064,-73.9897265,20170223,Cha-An Teahouse 茶菴,40.72957735653854,-73.9880363272639,Tea Room
East Village,40.7308064,-73.9897265,20170223,Han Dynasty,40.732129826626675,-73.98808954712618,Chinese Restaurant
East Village,40.7308064,-73.9897265,20170223,Turntable Lab,40.73096620388881,-73.98985415697096,Record Shop
East Village,40.7308064,-73.9897265,20170223,Sundaes and Cones,40.73088604297998,-73.98950566583842,Ice Cream Shop
East Village,40.7308064,-73.9897265,20170223,Ise Restaurant,40.729124,-73.989979,Soba Restaurant
East Village,40.7308064,-73.9897265,20170223,Spot Dessert Bar,40.7292404166493,-73.98917184337792,Dessert Shop
East Village,40.7308064,-73.9897265,20170223,Sunrise Mart,40.73014952006944,-73.9894475421091,Grocery Store
East Village,40.7308064,-73.9897265,20170223,Flywheel Sports,40.730068,-73.990167,Cycle Studio
East Village,40.7308064,-73.9897265,20170223,Szechuan Mountain House 川山甲,40.72912320276955,-73.98867184915008,Szechuan Restaurant
East Village,40.7308064,-73.9897265,20170223,Westside Market,40.73185238069749,-73.988596200943,Grocery Store
East Village,40.7308064,-73.9897265,20170223,Yoga to the People,40.72889410039975,-73.98943597663104,Yoga Studio
East Village,40.7308064,-73.9897265,20170223,Gothic Renaissance,40.73254124736957,-73.99000046089078,Clothing Store
East Village,40.7308064,-73.9897265,20170223,The Smith,40.73118513103143,-73.98867222644007,American Restaurant
East Village,40.7308064,-73.9897265,20170223,Hairmates,40.72921210811176,-73.98988902568817,Salon / Barbershop
